id,name,website,search_variants
1447,Saco,https://www.saco.se,"['SVERIGES AKADEMIKERS CENTRALORGANISATION, SACO', 'Saco']"
1134,Smartr,https://www.smartr.se/#Kontakt,"['Smarter AI Sweden AB', 'Smartr']"
1564,IBM,https://www.ibm.com/us-en,"['IBM Svenska Aktiebolag', 'IBM']"
1545,SVT,https://www.svt.se,"['Sveriges Television Aktiebolag', 'SVT']"
2194,EdMon,https://edmon.ai,"['Edmon Producer AB', 'EdMon']"
1726,PWC,https://www.pwc.se,"['PricewaterhouseCoopers i Sverige AB', 'PWC']"
1346,IDC,https://www.idc.com/eu/home/?origin=nordic-old-site,"['IDC Nordic A/S', 'IDC']"
1389,Zooma,https://zooma.agency/,"['Zooma Agency AB', 'Zooma']"
1322,Volvo Group,https://www.volvocars.com/se/,"['Volvo Car Sverige Aktiebolag', 'Volvo Group']"
1321,Svea AI,https://sveaai.se,"['Svea AI Technology AB', 'Svea AI']"
2043,Saab AB,5560360793,"['SAAB Aktiebolag', 'Saab AB']"
2048,Preem AB,https://www.preem.se,"['Preem Aktiebolag', 'Preem AB']"
1617,Riksidrottsförbundet,https://www.rf.se,"['SVERIGES RIKSIDROTTSFÖRBUND', 'Riksidrottsförbundet']"
1614,Stena AB,https://stena.com,"['Stena Aktiebolag', 'Stena AB']"
