id,name,website,search_variants
1152,Rek.ai,,"['Rek AB', 'Rek.ai AB', 'Rek ai AB', 'Rek ai', 'Rek.ai', 'Rek']"
1157,Skyqraft,,"['Skyqraft AB', 'Skyqraft']"
1166,TecPoint,,"['TecPoint AB', 'TecPoint']"
1190,Happy42,,"['Happy42', 'Happy42 AB']"
1202,Sentian.ai,,"['Sentian.ai AB', 'Sentian AB', 'Sentian', 'Sentian ai AB', 'Sentian ai', 'Sentian.ai']"
1211,rebase.energy,,"['rebase.energy', 'rebase energy AB', 'rebase AB', 'rebase energy', 'rebase', 'rebase.energy AB']"
1222,Videquus AB,,"['Videquus AB', 'Videquus']"
1227,Oterlu,,"['Oterlu', 'Oterlu AB']"
1231,Childhood - Stella Polaris,,"['Childhood - Stella Polaris', 'Childhood - Stella Polaris AB', 'Childhood Stella Polaris AB', 'Childhood Stella Polaris']"
1241,Women in AI,,"['Women in AI AB', 'Women in AI']"
1243,Wavr Tech AB (publ),,"['Wavr Tech (publ)', 'Wavr Tech AB (publ)', 'Wavr Tech AB publ', 'Wavr Tech AB publ AB', 'Wavr Tech AB']"
1254,DataForce by TransPerfect,,"['DataForce by TransPerfect AB', 'DataForce by TransPerfect']"
1266,BootstrapLabs,,"['BootstrapLabs AB', 'BootstrapLabs']"
1304,Qamcom Research and Technology,,"['Qamcom Research and Technology', 'Qamcom Research and Technology AB']"
1306,CEVT AB,,"['CEVT', 'CEVT AB']"
1311,Neodev,,"['Neodev', 'Neodev AB']"
1313,Ionic Consulting AB,,"['Ionic Consulting', 'Ionic Consulting AB']"
1314,"Women in Data Science, AI & ML Sweden",,"['Women in Data Science AI ML Sweden', 'Women in Data Science, AI & ML Sweden', 'Women in Data Science, AI & ML Sweden AB', 'Women in Data Science AI ML Sweden AB']"
1320,anch.AI,,"['anch.AI AB', 'anch AI', 'anch.AI', 'anch AI AB', 'anch', 'anch AB']"
1323,Test Scouts AB,,"['Test Scouts AB', 'Test Scouts']"
1335,Lindholmen Science Park AB,,"['Lindholmen Science Park AB', 'Lindholmen Science Park']"
1355,NearbyStore - Autonomus Grocery stores,,"['NearbyStore - Autonomus Grocery stores', 'NearbyStore Autonomus Grocery stores AB', 'NearbyStore Autonomus Grocery stores', 'NearbyStore - Autonomus Grocery stores AB']"
1364,"QuantumBlack, AI by McKinsey",,"['QuantumBlack, AI by McKinsey AB', 'QuantumBlack, AI by McKinsey', 'QuantumBlack AI by McKinsey', 'QuantumBlack AI by McKinsey AB']"
1377,beezum.online,,"['beezum', 'beezum online AB', 'beezum online', 'beezum.online AB', 'beezum AB', 'beezum.online']"
1387,Aito.AI,,"['Aito.AI', 'Aito AI', 'Aito AI AB', 'Aito', 'Aito AB', 'Aito.AI AB']"
1388,MEM.AI,,"['MEM AI AB', 'MEM AI', 'MEM.AI', 'MEM AB', 'MEM.AI AB', 'MEM']"
1419,Decerno AB,,"['Decerno', 'Decerno AB']"
1421,Ledarna – Sveriges chefsorganisation,,"['Ledarna Sveriges chefsorganisation', 'Ledarna – Sveriges chefsorganisation', 'Ledarna Sveriges chefsorganisation AB', 'Ledarna – Sveriges chefsorganisation AB']"
1435,Responsr,,"['Responsr AB', 'Responsr']"
1451,Stockholm Chamber of Commerce,,"['Stockholm Chamber of Commerce', 'Stockholm Chamber of Commerce AB']"
