priority,id,name,search_variants,reason
2,1137,Layke Analytics,"Layke Analytics Aktiebolag, Layke AB, Layke Analytics AB","Oklart, kan vara svenskt"
2,1152,Rek.ai,"Rek Aktiebolag, Rek, Rek ai AB","Oklart, kan vara svenskt"
2,1157,Skyqraft,"Skyqraft Aktiebolag, Skyqraft AB, Skyqraft","Oklart, kan vara svenskt"
2,1166,TecPoint,"TecPoint, TecPoint Aktiebolag, TecPoint AB","Oklart, kan vara svenskt"
2,1190,Happy42,"Happy42, Happy42 Aktiebolag, Happy42 AB","Oklart, kan vara svenskt"
2,1202,Sentian.ai,"Sentian Aktiebolag, Sentian, Sentian.ai AB","Oklart, kan vara svenskt"
2,1211,rebase.energy,"rebase.energy AB, rebase energy, rebase","Oklart, kan vara svenskt"
2,1212,Weather Labs,"Weather AB, Weather Labs, Weather","Oklart, kan vara svenskt"
2,1222,Videquus AB,"Videquus, Videquus Aktiebolag, Videquus AB","Oklart, kan vara svenskt"
2,1227,Oterlu,"Oterlu AB, Oterlu Aktiebolag, Oterlu","Oklart, kan vara svenskt"
2,1231,Childhood - Stella Polaris,"Childhood  Stella Polaris, Childhood, Childhood - Stella Polaris Aktiebolag","Oklart, kan vara svenskt"
2,1241,Women in AI,"Women, Women Aktiebolag, Women in AI Aktiebolag","Oklart, kan vara svenskt"
2,1243,Wavr Tech AB (publ),"Wavr Tech AB AB, Wavr AB, Wavr","Oklart, kan vara svenskt"
2,1254,DataForce by TransPerfect,"DataForce by TransPerfect Aktiebolag, DataForce, DataForce by TransPerfect AB","Oklart, kan vara svenskt"
2,1266,BootstrapLabs,"BootstrapLabs Aktiebolag, BootstrapLabs, BootstrapLabs AB","Oklart, kan vara svenskt"
2,1271,Softhouse Consulting,"Softhouse AB, Softhouse Consulting AB, Softhouse Consulting Aktiebolag","Oklart, kan vara svenskt"
2,1273,Boston Global Forum,"Boston Global Forum, Boston Global Forum AB, Boston","Oklart, kan vara svenskt"
2,1280,Aicavity Analytics,"Aicavity, Aicavity Analytics AB, Aicavity Aktiebolag","Oklart, kan vara svenskt"
2,1304,Qamcom Research and Technology,"Qamcom, Qamcom Research and Technology Aktiebolag, Qamcom Aktiebolag","Oklart, kan vara svenskt"
2,1306,CEVT AB,"CEVT Aktiebolag, CEVT AB, CEVT","Oklart, kan vara svenskt"
2,1311,Neodev,"Neodev Aktiebolag, Neodev AB, Neodev","Oklart, kan vara svenskt"
2,1313,Ionic Consulting AB,"Ionic Consulting AB, Ionic Aktiebolag, Ionic","Oklart, kan vara svenskt"
2,1314,"Women in Data Science, AI & ML Sweden","Women in Data Science AI ML Sweden AB, Women, Women Aktiebolag","Oklart, kan vara svenskt"
2,1320,anch.AI,"anch.AI Aktiebolag, anch.AI, anch.AI AB","Oklart, kan vara svenskt"
2,1323,Test Scouts AB,"Test Scouts, Test, Test Scouts AB","Oklart, kan vara svenskt"
2,1335,Lindholmen Science Park AB,"Lindholmen AB, Lindholmen Science Park AB, Lindholmen","Oklart, kan vara svenskt"
2,1355,NearbyStore - Autonomus Grocery stores,"NearbyStore - Autonomus Grocery stores AB, NearbyStore Aktiebolag, NearbyStore  Autonomus Grocery stores AB","Oklart, kan vara svenskt"
2,1356,Ethical AI Governance GGroup (EAIGG),"Ethical AI Governance GGroup, Ethical AI Governance GGroup (EAIGG) AB, Ethical AI Governance GGroup (EAIGG)","Oklart, kan vara svenskt"
2,1364,"QuantumBlack, AI by McKinsey","QuantumBlack AI by McKinsey AB, QuantumBlack, Aktiebolag, QuantumBlack, AI by McKinsey","Oklart, kan vara svenskt"
2,1371,The Farama Foundation,"The Farama Foundation Aktiebolag, The Farama Foundation, The Farama Foundation AB","Oklart, kan vara svenskt"
2,1377,beezum.online,"beezum AB, beezum.online Aktiebolag, beezum.online AB","Oklart, kan vara svenskt"
2,1387,Aito.AI,"Aito.AI, Aito Aktiebolag, Aito.AI AB","Oklart, kan vara svenskt"
2,1388,MEM.AI,"MEM.AI, MEM AI, MEM AI AB","Oklart, kan vara svenskt"
2,1405,Dell Technologies,"Dell Technologies, Dell, Dell Aktiebolag","Oklart, kan vara svenskt"
2,1419,Decerno AB,"Decerno AB, Decerno Aktiebolag, Decerno","Oklart, kan vara svenskt"
2,1421,Ledarna – Sveriges chefsorganisation,"Ledarna, Ledarna – Sveriges chefsorganisation, Ledarna – Sveriges chefsorganisation Aktiebolag","Oklart, kan vara svenskt"
2,1435,Responsr,"Responsr AB, Responsr Aktiebolag, Responsr","Oklart, kan vara svenskt"
2,1451,Stockholm Chamber of Commerce,"Stockholm Aktiebolag, Stockholm AB, Stockholm","Oklart, kan vara svenskt"
2,1454,Kungl. IngenjörsVetenskapsAkademien (IVA),"Kungl IngenjörsVetenskapsAkademien IVA, Kungl. IngenjörsVetenskapsAkademien AB, Kungl.","Oklart, kan vara svenskt"
2,1460,Aidoc,"Aidoc AB, Aidoc, Aidoc Aktiebolag","Oklart, kan vara svenskt"
2,1472,Thesamurai,"Thesamurai, Thesamurai AB, Thesamurai Aktiebolag","Oklart, kan vara svenskt"
2,1475,Daresay by Knightec,"Daresay by Knightec AB, Daresay Aktiebolag, Daresay AB","Oklart, kan vara svenskt"
2,1490,WOWEN,"WOWEN AB, WOWEN Aktiebolag, WOWEN","Oklart, kan vara svenskt"
2,1505,MinnaLearn,"MinnaLearn AB, MinnaLearn, MinnaLearn Aktiebolag","Oklart, kan vara svenskt"
2,1506,Synai,"Synai Aktiebolag, Synai AB, Synai","Oklart, kan vara svenskt"
2,1511,Semanttic AB,"Semanttic, Semanttic AB, Semanttic Aktiebolag","Oklart, kan vara svenskt"
2,1514,Swedish Red Cross,"Swedish AB, Swedish Aktiebolag, Swedish Red Cross","Oklart, kan vara svenskt"
2,1515,DigJourney,"DigJourney Aktiebolag, DigJourney AB, DigJourney","Oklart, kan vara svenskt"
2,1521,Internetstiftelsen,"Internetstiftelsen, Internetstiftelsen AB, Internetstiftelsen Aktiebolag","Oklart, kan vara svenskt"
2,1528,Hub France IA,"Hub France IA Aktiebolag, Hub France IA AB, Hub France IA","Oklart, kan vara svenskt"
