company_id,company_name,company_type,owner,website,search_query_1,result_url_1,all_urls_1,result_text_1,found_orgnr_1,extracted_name_1,search_query_2,result_url_2,all_urls_2,result_text_2,found_orgnr_2,extracted_name_2,search_query_owner,result_url_owner,all_urls_owner,result_text_owner,found_orgnr_owner,extracted_name_owner,all_found_orgnr,all_extracted_names,suggested_orgnr,confidence_score,suggestion_reason,verified_orgnr,notes
1773,AI Coach Mikael Vilkas,corporation,,https://www.aicoachen.ai/,AI Coach Mikael Vilkas site:allabolag.se,https://www.allabolag.se/befattning/mikael-michal-mateusz-eliszewski/-/12726380,https://www.allabolag.se/befattning/mikael-michal-mateusz-eliszewski/-/12726380 | https://allabolag.se/sök-på-företagsnamn?q=AI,"Allabolag Mikael Michal Mateusz Eliszewski - 3 befattningar i svenskt näringsliv. Officiella befattningar (3) och relationer Mikael Michal Mateusz Eliszewski har i näringslivet. Styrelseordförande, styrelsesledamot och andra befattningar. https://www.allabolag.se/befattning/mikael-michal-mateusz-eliszewski/-/12726380 Allabolag AI - 589 leverantörer i Sverige. Se nyckeltal, befattningar, ... AI - Allabolag.se ger dig nyckeltal, resultatredovisning, adresser med mera. Leverantörsöversikt, sida 1. https://allabolag.se/sök-på-företagsnamn?q=AI",,,AI Coach Mikael Vilkas site:bolagsfakta.se,https://www.bolagsfakta.se/5565543724-Sumo_Business_Development_AB,https://www.bolagsfakta.se/5565543724-Sumo_Business_Development_AB | https://www.bolagsfakta.se/5594814294-AI_utbildarna_Sverige_AB,"Bolagsfakta Sumo Business Development AB | Info & Löner | Bolagsfakta VD för Sumo Business Development AB är Anna Sanderoth Vilkas och Styrelseledamot är Mikael Vilkas https://www.bolagsfakta.se/5565543724-Sumo_Business_Development_AB Bolagsfakta AI-utbildarna Sverige AB | Aktiebolag | Info & Löner Bolagsfakta är Sveriges nya företagssök som ger dig tillgång till bokslut, företagsinformation samt lön och inkomst av kapital på VD och styrelse. https://www.bolagsfakta.se/5594814294-AI_utbildarna_Sverige_AB","556554-3724, 559481-4294",Sumo Business Development AB,,,,,,,"556554-3724, 559481-4294",Sumo Business Development AB,556554-3724,0.50,Första hittade: Sumo Business Development AB (låg namnlikhet),,
2318,AIxDesign AB,corporation,,https://www.aixdesign.se,AIxDesign AB site:allabolag.se,https://www.allabolag.se/5563192086/befattningar,https://www.allabolag.se/5563192086/befattningar | https://www.allabolag.se/5563192086/handelser,"AIX Arkitekter AB - Befattningshavare - allabolag.se AIX Arkitekter AB,556319-2086 - På allabolag.se hittar du , bokslut, nyckeltal, koncern, koncernträd, styrelse, Status, varumärken https://www.allabolag.se/5563192086/befattningar AIX Arkitekter AB - Bolagshändelser - allabolag.se AIX Arkitekter AB,556319-2086 - På allabolag.se hittar du , bokslut, nyckeltal, koncern, koncernträd, styrelse, StatusBolagshändelser för AIX Arkitekter AB https://www.allabolag.se/5563192086/handelser",556319-2086,,AIxDesign AB site:bolagsfakta.se,https://www.bolagsfakta.se/listor,https://www.bolagsfakta.se/listor | https://www.bolagsfakta.se/bransch/laholms-kommun,Listor av företag i Sverige | Bolagsfakta Copyright 2025 © Bolagsfakta i Sverige AB . https://www.bolagsfakta.se/listor Branscher & företag i Laholms kommun (4 464 st) | Bolagsfakta Copyright 2025 © Bolagsfakta i Sverige AB . https://www.bolagsfakta.se/bransch/laholms-kommun,,,,,,,,,556319-2086,,556319-2086,0.90,Endast ett org.nr hittades: ,,
1168,ALMI Mälardalen,corporation,,https://www.almi.se/om-almi/kontakt/kontaktlista/?office=4423,ALMI Mälardalen site:allabolag.se,https://www.allabolag.se/organisation/almi-fc3b6retagspartner-mc3a4lardalen-ab/c3b6rebro/fc3b6retagsutveckling/2K31MUOI5YEHU,https://www.allabolag.se/organisation/almi-fc3b6retagspartner-mc3a4lardalen-ab/c3b6rebro/fc3b6retagsutveckling/2K31MUOI5YEHU | https://www.allabolag.se/5568003312/almi-foretagspartner-malardalen-ab,"Almi Företagspartner Mälardalen AB - Örebro - Organisation Allabolag.se ger dig företagsinformation om Almi Företagspartner Mälardalen AB, 556800-3312. Hitta adress på karta, kontaktinfo, nyckeltal och befattningar. https://www.allabolag.se/organisation/almi-fc3b6retagspartner-mc3a4lardalen-ab/c3b6rebro/fc3b6retagsutveckling/2K31MUOI5YEHU Almi Företagspartner Mälardalen AB - Företagsinformation Almi Företagspartner Mälardalen AB,556800-3312 - På allabolag.se hittar du , bokslut, nyckeltal, koncern, koncernträd, styrelse, Status... https://www.allabolag.se/5568003312/almi-foretagspartner-malardalen-ab",556800-3312,,ALMI Mälardalen site:bolagsfakta.se,https://www.bolagsfakta.se/5564816204-Almi_AB,https://www.bolagsfakta.se/5564816204-Almi_AB | https://www.bolagsfakta.se/5561418392-Almi_Foretagspartner_Stockholm_Sormland_AB,"Almi AB | Aktiebolag | Info & Löner - Bolagsfakta Almi AB - Org.nummer: 556481-6204. På Bolagsfakta.se hittar du kontakt-och företagsinformation, nyckeltal, lön till VD & styrelse m.m. https://www.bolagsfakta.se/5564816204-Almi_AB Almi Företagspartner Stockholm Sörmland AB - Bolagsfakta Almi Företagspartner Stockholm Sörmland AB - Org.nummer: 556141-8392. På Bolagsfakta.se hittar du kontakt-och företagsinformation, nyckeltal, lön till VD & styrelse m.m. https://www.bolagsfakta.se/5561418392-Almi_Foretagspartner_Stockholm_Sormland_AB","556481-6204, 556141-8392",Almi AB,,,,,,,"556800-3312, 556481-6204, 556141-8392",Almi AB,556800-3312,0.50,Första hittade: 556800-3312 (låg namnlikhet),,
1460,Aidoc,corporation,,https://www.aidoc.com/,Aidoc site:allabolag.se,,,[ERROR: No results found.],,,Aidoc site:bolagsfakta.se,,,[ERROR: No results found.],,,,,,,,,,,,0.00,Inga org.nr hittades,,
1703,Amazon (AWS),corporation,,https://aws.amazon.com,Amazon (AWS) site:allabolag.se,https://www.allabolag.se/5164110669/adresser,https://www.allabolag.se/5164110669/adresser,"Amazon Web Services EMEA SARL, Sverige filial - Företagsinformation Adresser till arbetsställen. Amazon Web Services EMEA SARL, Sverige filial. https://www.allabolag.se/5164110669/adresser",516411-0669,,Amazon (AWS) site:bolagsfakta.se,https://www.bolagsfakta.se/5569525693-Httpool_AB,https://www.bolagsfakta.se/5569525693-Httpool_AB | https://www.bolagsfakta.se/5566354543-Twitch_Sweden_AB,Httpool AB | Aktiebolag | Info & Löner - Bolagsfakta Amazon Data Services Sweden AB Aktiv Nina Roed (En av Ledamöterna). https://www.bolagsfakta.se/5569525693-Httpool_AB Twitch Sweden AB | Aktiebolag | Info & Löner - Bolagsfakta Amazon Data Services Sweden AB Aktiv Nina Roed (Ordförande). https://www.bolagsfakta.se/5566354543-Twitch_Sweden_AB,"556952-5693, 556635-4543",Httpool AB,,,,,,,"516411-0669, 556952-5693, 556635-4543",Httpool AB,516411-0669,0.50,Första hittade: 516411-0669 (låg namnlikhet),,
2086,Aposmart,corporation,,https://www.aposmart.se/,Aposmart site:allabolag.se,,,[ERROR: No results found.],,,Aposmart site:bolagsfakta.se,,,[ERROR: No results found.],,,,,,,,,,,,0.00,Inga org.nr hittades,,
1598,Arlaplast,corporation,,https://www.arlaplastgroup.com/en/,Arlaplast site:allabolag.se,,,[ERROR: No results found.],,,Arlaplast site:bolagsfakta.se,,,[ERROR: No results found.],,,,,,,,,,,,0.00,Inga org.nr hittades,,
1266,BootstrapLabs,corporation,,https://bootstraplabs.com/,BootstrapLabs site:allabolag.se,,,[ERROR: No results found.],,,BootstrapLabs site:bolagsfakta.se,,,[ERROR: No results found.],,,,,,,,,,,,0.00,Inga org.nr hittades,,
1853,Bäckström Stockholm AB,corporation,,https://backstroms.se/,Bäckström Stockholm AB site:allabolag.se,https://www.allabolag.se/foretag/bäckström-stockholm-aktiebolag/hägersten/entreprenörer/2K1P8QFI63IFX,https://www.allabolag.se/foretag/bäckström-stockholm-aktiebolag/hägersten/entreprenörer/2K1P8QFI63IFX | https://www.allabolag.se/befattningshavare/johan-bäckström-ab/stockholm/evenemangsproduktioner/2KH0E0CI5YDTG,"Bäckström Stockholm Aktiebolag - Org.nr 556574-5527 - Hägersten... Se företagsinformation om Bäckström Stockholm Aktiebolag. Översikt med kontaktuppgifter, redovisning, befattningar, styrelse, ägare och händelser. https://www.allabolag.se/foretag/bäckström-stockholm-aktiebolag/hägersten/entreprenörer/2K1P8QFI63IFX Johan Bäckström AB - Stockholm - Befattningar Se information om befattningar för Johan Bäckström AB . Översikt med verklig hovudman, firmatecknare og historiska befattningshavare. https://www.allabolag.se/befattningshavare/johan-bäckström-ab/stockholm/evenemangsproduktioner/2KH0E0CI5YDTG",556574-5527,Bäckström Stockholm Aktiebolag,Bäckström Stockholm AB site:bolagsfakta.se,https://www.bolagsfakta.se/5591958375-Street_Week_AB,https://www.bolagsfakta.se/5591958375-Street_Week_AB | https://www.bolagsfakta.se/5565658357-WRD_Stockholm_AB,Street Week AB | Aktiebolag | Info & Löner - Bolagsfakta Audio Visual Partner Sweden AB Aktiv Peter Bäckström (Ordförande) ... AVP i Stockholm AB Aktiv Peter Bäckström (Ordförande) https://www.bolagsfakta.se/5591958375-Street_Week_AB WRD Stockholm AB | Aktiebolag | Info & Löner - Bolagsfakta Styrelseledamot för WRD Stockholm AB är Eva-Lena Maria Bäckström och Styrelsesuppleant är Sven Moberg. ... Stockholm AB Aktiv Eva-Lena Maria ... https://www.bolagsfakta.se/5565658357-WRD_Stockholm_AB,"559195-8375, 556565-8357",Street Week AB,,,,,,,"556574-5527, 559195-8375, 556565-8357",Bäckström Stockholm Aktiebolag | Street Week AB,556574-5527,0.95,Bästa namnmatchning: 'Bäckström Stockholm Aktiebolag' (100% likhet),,
1549,CB Insights,corporation,,https://www.cbinsights.com,CB Insights site:allabolag.se,https://www.allabolag.se/foretag/twintip-insights-ab/stockholm/reklambyråer/2K314MMI5YGSK,https://www.allabolag.se/foretag/twintip-insights-ab/stockholm/reklambyråer/2K314MMI5YGSK | https://www.allabolag.se/5566643168/cyberinsights-ab,"Twintip Insights AB - Org.nr 556797-9694 - Stockholm - Se Nyckeltal... Se företagsinformation om Twintip Insights AB. Översikt med kontaktuppgifter, redovisning, befattningar, styrelse, ägare och händelser. https://www.allabolag.se/foretag/twintip-insights-ab/stockholm/reklambyråer/2K314MMI5YGSK CyberInsights AB - Företagsinformation CyberInsights AB,556664-3168 - På allabolag.se hittar du , bokslut, nyckeltal, koncern, koncernträd, styrelse, Status, varumärken, adress mm för CyberInsights AB... https://www.allabolag.se/5566643168/cyberinsights-ab","556797-9694, 556664-3168",Twintip Insights AB,CB Insights site:bolagsfakta.se,https://www.bolagsfakta.se/5591236160-Sales_and_insights_Sweden_AB,https://www.bolagsfakta.se/5591236160-Sales_and_insights_Sweden_AB | https://www.bolagsfakta.se/5592785827-CB_Company_AB,"Sales and insights Sweden AB | Aktiebolag | Info & Löner Listorna visar bolag i samma bransch (SNI 8220 - Callcenterverksamhet), som antingen är bland de största i Sverige, de största i kommunen, eller ligger i närheten av Sales and insights ... https://www.bolagsfakta.se/5591236160-Sales_and_insights_Sweden_AB bolagsfakta.se/5592785827- CB _Company_AB The site owner hides the web page description. https://www.bolagsfakta.se/5592785827-CB_Company_AB","559123-6160, 559278-5827",Sales and insights Sweden AB,,,,,,,"556797-9694, 556664-3168, 559123-6160, 559278-5827",Twintip Insights AB | Sales and insights Sweden AB,556797-9694,0.50,Första hittade: Twintip Insights AB (låg namnlikhet),,
