company_id,company_name,search_query_1,best_match_1,found_orgnr_1,search_query_2,best_match_2,found_orgnr_2,suggested_orgnr,confidence_score,suggestion_reason,verified_orgnr,notes
1773,AI Coach Mikael Vilkas,AI Coach Mikael Vilkas site:allabolag.se,,,AI Coach Mikael Vilkas site:bolagsfakta.se,Mabel AI AB,559375-5696,559375-5696,0.90,Endast ett org.nr hittades: Mabel AI AB,,
2318,AIxDesign AB,AIxDesign AB site:allabolag.se,AIxDesign Global AB,556963-1913,AIxDesign AB site:bolagsfakta.se,Nusvar,556991-1224,556963-1913,0.72,Bästa namnmatchning: 'AIxDesign Global AB' (72% likhet),,
1168,ALMI Mälardalen,ALMI Mälardalen site:allabolag.se,,556800-3312,ALMI Mälardalen site:bolagsfakta.se,BDO Malardalen Intressenter AB,556953-5080,556953-5080,0.90,Endast ett org.nr hittades: BDO Malardalen Intressenter AB,,
1460,Aidoc,Aidoc site:allabolag.se,,,Aidoc site:bolagsfakta.se,,,,0.00,Inga org.nr hittades,,
1703,Amazon (AWS),Amazon (AWS) site:allabolag.se,,516411-0669,Amazon (AWS) site:bolagsfakta.se,Httpool AB,556952-5693,556952-5693,0.90,Endast ett org.nr hittades: Httpool AB,,
2086,Aposmart,Aposmart site:allabolag.se,,,Aposmart site:bolagsfakta.se,,,,0.00,Inga org.nr hittades,,
1598,Arlaplast,Arlaplast site:allabolag.se,,,Arlaplast site:bolagsfakta.se,,,,0.00,Inga org.nr hittades,,
1266,BootstrapLabs,BootstrapLabs site:allabolag.se,,,BootstrapLabs site:bolagsfakta.se,,,,0.00,Inga org.nr hittades,,
1853,Bäckström Stockholm AB,Bäckström Stockholm AB site:allabolag.se,Bäckström Stockholm Aktiebolag,556574-5527,Bäckström Stockholm AB site:bolagsfakta.se,WRD Stockholm AB,556565-8357,556574-5527,0.95,Bästa namnmatchning: 'Bäckström Stockholm Aktiebolag' (100% likhet),,
1549,CB Insights,CB Insights site:allabolag.se,Net Insight AB,556533-4397,CB Insights site:bolagsfakta.se,Sales and insights Sweden AB,559123-6160,556533-4397,0.73,Bästa namnmatchning: 'Net Insight AB' (73% likhet),,
1306,CEVT AB,CEVT AB site:allabolag.se,UNIONEN CEVT,802521-6501,CEVT AB site:bolagsfakta.se,Aeon Media Group,559287-6063,802521-6501,0.50,Första hittade: UNIONEN CEVT (låg namnlikhet),,
1254,DataForce by TransPerfect,DataForce by TransPerfect site:allabolag.se,TransPerfect Translations AB,556678-9870,DataForce by TransPerfect site:bolagsfakta.se,Juristbyran Din Juridik AB,559147-2443,556678-9870,0.50,Första hittade: TransPerfect Translations AB (låg namnlikhet),,
1785,Derome AB,Derome AB site:allabolag.se,Derome Hus AB,559377-3210,Derome AB site:bolagsfakta.se,Husverket AB,559003-4426,559377-3210,0.75,Bästa namnmatchning: 'Derome Hus AB' (75% likhet),,
1573,EY (Ernst & Young),EY (Ernst & Young) site:allabolag.se,ERNST & YOUNG LLP,502063-6659,EY (Ernst & Young) site:bolagsfakta.se,Ernst Young Aktiebolag,556053-5873,556053-5873,0.76,Bästa namnmatchning: 'Ernst Young Aktiebolag' (76% likhet),,
1833,Eghed AB,Eghed AB site:allabolag.se,,559385-4986,Eghed AB site:bolagsfakta.se,Nusvar,556991-1224,556991-1224,0.90,Endast ett org.nr hittades: Nusvar,,
2078,Four PR,Four PR site:allabolag.se,Four Public Relations in Sweden AB,556803-3459,Four PR site:bolagsfakta.se,,,556803-3459,0.90,Endast ett org.nr hittades: Four Public Relations in Sweden AB,,
2148,GF Piping System,GF Piping System site:allabolag.se,Aqua Line Pipe Systems AB,556634-3348,GF Piping System site:bolagsfakta.se,ISR Immune System Regulation Holding AB publ,559026-7828,556634-3348,0.50,Första hittade: Aqua Line Pipe Systems AB (låg namnlikhet),,
1576,Icebreaker.vc,Icebreaker.vc site:allabolag.se,,,Icebreaker.vc site:bolagsfakta.se,VSM Entreprenad AB,556856-6011,556856-6011,0.90,Endast ett org.nr hittades: VSM Entreprenad AB,,
