company_id,company_name,matched_name,score,match_type,orgnr,status,city,jurform,sni,payload
1130,RISE,Risme,89,fuzzy,197302253971,9,LIMHAMN,10,70220,"{""PeOrgNr"": ""197302253971"", ""Namn"": ""Wijk Johansson, Arne Magnus"", ""Foretagsnamn"": ""Risme"", ""FtgStat"": ""9"", ""JEStat"": ""2"", ""JurForm"": ""10"", ""Gatuadress"": ""MURBRUKSGATAN 19  LGH 1003"", ""PostNr"": ""21647"", ""PostOrt"": ""LIMHAMN"", ""COAdress"": """", ""RegDatKtid"": ""20160630"", ""Ng1"": ""70220"", ""Ng2"": """", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1153,Adopticum,AdOtium,88,fuzzy,196406271277,1,STOCKHOLM,10,90030,"{""PeOrgNr"": ""196406271277"", ""Namn"": ""Stange, Anders"", ""Foretagsnamn"": ""AdOtium"", ""FtgStat"": ""1"", ""JEStat"": ""2"", ""JurForm"": ""10"", ""Gatuadress"": ""DALAGATAN 62  LGH 1004"", ""PostNr"": ""11324"", ""PostOrt"": ""STOCKHOLM"", ""COAdress"": """", ""RegDatKtid"": ""20210903"", ""Ng1"": ""90030"", ""Ng2"": """", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1164,Örebro University,ÖREBRO UNIVERSITET,91,fuzzy,162021002924,1,ÖREBRO,81,85420,"{""PeOrgNr"": ""162021002924"", ""Namn"": ""ÖREBRO UNIVERSITET"", ""Foretagsnamn"": """", ""FtgStat"": ""1"", ""JEStat"": ""1"", ""JurForm"": ""81"", ""Gatuadress"": """", ""PostNr"": ""70182"", ""PostOrt"": ""ÖREBRO"", ""COAdress"": """", ""RegDatKtid"": ""19770101"", ""Ng1"": ""85420"", ""Ng2"": """", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1170,OpenMined,OPEN MIND,89,fuzzy,168024074307,0,BAGARMOSSEN,61,94990,"{""PeOrgNr"": ""168024074307"", ""Namn"": ""OPEN MIND"", ""Foretagsnamn"": """", ""FtgStat"": ""0"", ""JEStat"": ""1"", ""JurForm"": ""61"", ""Gatuadress"": ""EMÅG. 42  2TR"", ""PostNr"": ""12846"", ""PostOrt"": ""BAGARMOSSEN"", ""COAdress"": ""Å JARRA"", ""RegDatKtid"": ""19990305"", ""Ng1"": ""94990"", ""Ng2"": """", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1183,Santa Anna IT Research Institute AB,Santa Anna IT Research Institute AB,96,fuzzy,165593184152,1,LINKÖPING,49,62010,"{""PeOrgNr"": ""165593184152"", ""Namn"": ""Santa Anna IT Research Institute AB"", ""Foretagsnamn"": """", ""FtgStat"": ""1"", ""JEStat"": ""1"", ""JurForm"": ""49"", ""Gatuadress"": ""LINKÖPINGS UNIVERSITET"", ""PostNr"": ""58183"", ""PostOrt"": ""LINKÖPING"", ""COAdress"": ""LINKÖPINGS UNIVERSITET, IDA"", ""RegDatKtid"": ""20210521"", ""Ng1"": ""62010"", ""Ng2"": """", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1191,Nordic Innovation,Nordic Innovations AB,89,fuzzy,165568288822,1,HOVÅS,49,70220,"{""PeOrgNr"": ""165568288822"", ""Namn"": ""Nordic Innovations AB"", ""Foretagsnamn"": """", ""FtgStat"": ""1"", ""JEStat"": ""1"", ""JurForm"": ""49"", ""Gatuadress"": ""UGGLEGÅRDEN 36  LGH 0901"", ""PostNr"": ""43658"", ""PostOrt"": ""HOVÅS"", ""COAdress"": """", ""RegDatKtid"": ""20101202"", ""Ng1"": ""70220"", ""Ng2"": ""71122"", ""Ng3"": ""46521"", ""Ng4"": ""74101"", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1200,HighFive,HIGH FIVE,94,fuzzy,168024921572,9,TÄBY,61,90010,"{""PeOrgNr"": ""168024921572"", ""Namn"": ""HIGH FIVE"", ""Foretagsnamn"": """", ""FtgStat"": ""9"", ""JEStat"": ""1"", ""JurForm"": ""61"", ""Gatuadress"": ""STOCKVÄGEN 15"", ""PostNr"": ""18768"", ""PostOrt"": ""TÄBY"", ""COAdress"": ""JAKOB LUNDVALL"", ""RegDatKtid"": ""20141211"", ""Ng1"": ""90010"", ""Ng2"": """", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1267,Kista Science City AB,KISTA SCIENCE CITY AB,92,fuzzy,165565676953,1,KISTA,49,70220,"{""PeOrgNr"": ""165565676953"", ""Namn"": ""KISTA SCIENCE CITY AB"", ""Foretagsnamn"": """", ""FtgStat"": ""1"", ""JEStat"": ""1"", ""JurForm"": ""49"", ""Gatuadress"": ""BOX 1073"", ""PostNr"": ""16425"", ""PostOrt"": ""KISTA"", ""COAdress"": """", ""RegDatKtid"": ""19990716"", ""Ng1"": ""70220"", ""Ng2"": ""68203"", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1274,University of Skövde,UNIVERSITY OF SWEDEN,85,fuzzy,168024530928,0,GÖTEBORG,61,94990,"{""PeOrgNr"": ""168024530928"", ""Namn"": ""UNIVERSITY OF SWEDEN"", ""Foretagsnamn"": """", ""FtgStat"": ""0"", ""JEStat"": ""1"", ""JurForm"": ""61"", ""Gatuadress"": ""TYCHO BRAHES GATA 9"", ""PostNr"": ""41556"", ""PostOrt"": ""GÖTEBORG"", ""COAdress"": """", ""RegDatKtid"": ""20100624"", ""Ng1"": ""94990"", ""Ng2"": """", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1288,Humantech Foundation,HUMANEIGHT FOUNDATION,88,fuzzy,168025494116,0,STOCKHOLM,61,94990,"{""PeOrgNr"": ""168025494116"", ""Namn"": ""HUMANEIGHT FOUNDATION"", ""Foretagsnamn"": """", ""FtgStat"": ""0"", ""JEStat"": ""1"", ""JurForm"": ""61"", ""Gatuadress"": ""ERIKSBERGSGATAN 8 B"", ""PostNr"": ""11430"", ""PostOrt"": ""STOCKHOLM"", ""COAdress"": ""COLONY"", ""RegDatKtid"": ""20241213"", ""Ng1"": ""94990"", ""Ng2"": """", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1298,Karolinska Institute,KAROLINSKA INSTITUTET,98,fuzzy,162021002973,1,STOCKHOLM,81,85420,"{""PeOrgNr"": ""162021002973"", ""Namn"": ""KAROLINSKA INSTITUTET"", ""Foretagsnamn"": """", ""FtgStat"": ""1"", ""JEStat"": ""1"", ""JurForm"": ""81"", ""Gatuadress"": """", ""PostNr"": ""17177"", ""PostOrt"": ""STOCKHOLM"", ""COAdress"": """", ""RegDatKtid"": ""19770101"", ""Ng1"": ""85420"", ""Ng2"": ""84122"", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1300,Pirr,PIR,86,fuzzy,168024089834,0,ENSKEDE,61,94990,"{""PeOrgNr"": ""168024089834"", ""Namn"": ""PIR"", ""Foretagsnamn"": """", ""FtgStat"": ""0"", ""JEStat"": ""1"", ""JurForm"": ""61"", ""Gatuadress"": ""KAGGEHOLMSVÄGEN 64  3 TR"", ""PostNr"": ""12260"", ""PostOrt"": ""ENSKEDE"", ""COAdress"": ""WOLMNER"", ""RegDatKtid"": ""20000229"", ""Ng1"": ""94990"", ""Ng2"": """", ""Ng3"": """", ""Ng4"": """", ""Ng5"": """", ""Reklamsparrtyp"": ""1""}"
1315,Uppsala University,UPPSALA UNIVERSITET,92,fuzzy,162021002932,1,UPPSALA,81,85420,"{""PeOrgNr"": ""162021002932"", ""Namn"": ""UPPSALA UNIVERSITET"", ""Foretagsnamn"": """", ""FtgStat"": ""1"", ""JEStat"": ""1"", ""JurForm"": ""81"", ""Gatuadress"": ""BOX 256"", ""PostNr"": ""75105"", ""PostOrt"": ""UPPSALA"", ""COAdress"": """", ""RegDatKtid"": ""19770101"", ""Ng1"": ""85420"", ""Ng2"": ""72200"", ""Ng3"": ""72190"", ""Ng4"": ""91011"", ""Ng5"": ""62030"", ""Reklamsparrtyp"": ""1""}"
