id;name;website;description
1186;Hewlett Packard Enterprise;https://www.hpe.com/us/en/home.html;Hewlett Packard Enterprise (HPE) is an American multinational enterprise information technology company focusing on digital transformation solutions. HPE delivers comprehensive data center solutions including intelligent edge, hybrid IT, storage, server, and networking products. Their offerings span cloud solutions, security, big data analytics, and financial services for enterprise customers worldwide.
1688;Delorean AB;https://www.delorean.se/;Delorean är en strategisk digital byrå i Stockholm som specialiserar sig på digital transformation och användarupplevelser. Vi hjälper företag och organisationer med strategi, UX, design och webbutveckling för att optimera den digitala kundresan. Med prisbelönta projekt för kunder som Liseberg, LO och Vogue Scandinavia levererar vi skräddarsydda digitala lösningar som driver affärsnytta.
1891;Eningo AB;eningo.se;Eningo utvecklar digitala lösningar för effektiv ledningskoordinering inom infrastruktursektorn. Deras ärendehanteringssystem Eningo Utility Platform är skräddarsytt för ledningsägare och stödjer hela processen från koordinering till utsättning. Plattformen används av både koordinatorer och mättekniker för att modernisera och förenkla arbetet med ledningsanvisningar.
1748;Lightbringer;https://lightbringer.com;Lightbringer revolutionizes patent services for fast-growing tech companies with AI-powered tools and expert patent attorneys. The platform enables companies to file patents 70% faster and cut costs by up to 50% through a streamlined digital workflow. With features like competitor monitoring, patent strategy builders, and purpose-built AI trained on hundreds of thousands of patents, Lightbringer makes intellectual property protection accessible and efficient.
1581;Mannheimer Swartling;mannheimerswartling.se;Mannheimer Swartling är Sveriges ledande affärsjuridiska byrå med expertise inom alla områden av affärsjuridik. Med välrenommerade jurister och en historia av banbrytande transaktioner levererar byrån högkvalitativ juridisk rådgivning till företag och organisationer. Deras team arbetar sömlöst över expertområden för att mobilisera rätt kompetens för varje uppdrag.
1570;Zelago Consulting;https://zelago.se/;Zelago Consulting är en oberoende strategisk IT-partner som specialiserar sig på AI och digital verksamhetsutveckling. De hjälper företag genom hela digitaliseringsresan från utbildning och rådgivning till slutlig implementation av AI-agenter och digitala lösningar. Med fokus på IT-strategi, kvalitetsstyrning och automatisering maximerar Zelago värdet av företags IT-investeringar för långsiktig framgång.
1260;Data Wealth;https://www.data-wealth.com/;Data Wealth utvecklar skräddarsydda AI-lösningar som omvandlar företagsdata till värdefulla affärstillgångar. Med fokus på mätbara resultat hjälper de organisationer att låsa upp dold potential genom avancerad dataanalys och AI-teknologi. Företaget erbjuder konsulttjänster inom IT och dataanalys samt utvecklar innovativa mjukvaruprodukter.
1567;Innovatrice AB;http://innovatrice.se;Innovatrice är ett team av företagsutvecklare, pedagoger och speciallärare som hjälper skolor integrera AI i pedagogisk verksamhet. De erbjuder skräddarsydda AI-utbildningar, workshops och förändringsledning för att identifiera användningsområden som höjer KPI:er. Genom att kombinera pedagogisk expertis med AI-kompetens öppnar Innovatrice nya möjligheter för framtidens utbildning.
1555;Alstom;alstom.se;Alstom är en global ledare inom hållbar mobilitet med över 140 års närvaro i Sverige och mer än 2000 anställda. Företaget har levererat över 1000 tåg och majoriteten av alla signal- och trafikledningssystem i landet, inklusive höghastighetståg, regionaltåg, spårvagnar och tunnelbanevagnar. Med globala forsknings- och utvecklingscentra i Stockholm och Västerås utvecklar Alstom banbrytande lösningar för framtidens hållbara transporter.
2094;Mabel AI;https://mabel.care;Mabel utvecklar högst säker realtidsöversättningsteknik för medicinska samtal med fokus på integritet och konfidentialitet. Lösningen baseras på AI-driven in-device speech recognition och translation som möjliggör omedelbar och säker tolkning i vårdsituationer. Mabel skapades för att överbrygga språkbarriärer inom sjukvården och säkerställa att varje patient får korrekt vård oavsett språk.
1790;Claesson & Partners;claessonpartners.se;Claesson & Partners är ett managementkonsultbolag som specialiserar sig på att styra företag mot lönsamhet och konkurrenskraft. Med bred erfarenhet från olika branscher inklusive automotive, sjukvård, telekom och offentlig sektor levererar de strategisk rådgivning för hållbar affärsutveckling. Deras drivkraft är att skapa lönsamma och konkurrenskraftiga företag för framtiden.
1743;Brandskyddsföreningen;https://www.brandskyddsforeningen.se/;Brandskyddsföreningen har i över 100 år arbetat för att öka brandsäkerheten i det svenska samhället och minska skadekostnaderna. Föreningen erbjuder utbildningar, certifieringar som Heta Arbeten, restvärderäddning och elsäkerhetsbesiktning för att förebygga bränder. Genom medlemskap och samarbete arbetar de för visionen om ett brandsäkert och hållbart Sverige där kunskap räddar liv.
1727;Knowit;knowit.se;Knowit är ett IT-konsultbolag med 3900 konsulter som levererar digitala lösningar och driver kunders digitala transformation. Med bred kompetens inom allt från cybersäkerhet och molntjänster till AI och hållbarhetsfrågor hjälper Knowit organisationer att forma en hållbar och human framtid. Företaget arbetar med kunder inom offentlig sektor, bank, finans, energi, telekom och handel för att skapa innovativa och värdeskapande digitala tjänster.
1602;Appalume AB;appalume.se;Appalume assisterar företag med alla digitala behov från hemsidor och affärssystem till molntjänster och AI-lösningar. Tack vare nya teknologier och skickliga maskininlärningsingenjörer kan Appalume nu erbjuda avancerade AI-tjänster som tidigare var reserverade för stora företag även till mindre aktörer. De levererar skalbara lösningar som följer företag från start till tillväxt.
1147;Accenture;https://www.accenture.com/se-en;Accenture är ett globalt konsultbolag som hjälper organisationer med digital transformation och AI-driven affärsutveckling. Med fokus på kontinuerlig reinvention kombinerar Accenture teknologi, talang och processer för att skapa hållbar tillväxt och 360° värde för kunder, medarbetare och samhälle. Företaget arbetar i framkant med generativ AI, cloud-lösningar och cybersäkerhet för att forma framtidens arbetssätt.
1458;Datatera AB;https://www.datatera.se;Datatera är en dataanalysplattform designad för att förbättra vårdresultat genom analys av patientsentiment. Plattformen analyserar patientkommunikation för att förbättra responsivitet och effektivitet i läkar-patientrelationen med realtidsinsikter. Datatera ger vårdgivare möjlighet att serva fler patienter i en miljö där patienter känner sig mer engagerade under vårdprocessen.
1957;KAN Agency;https://kan.se;KAN är en av Sveriges största digitalbyråer med över 100 specialister och kontor i Stockholm och Malmö. Med fullserviceerbjudande inom kommunikation, strategi, UX, design, utveckling och digital marknadsföring skapar KAN värdefulla kundupplevelser som driver affärstillväxt. Byrån arbetar med både globala och lokala varumärken för att förverkliga digitala visioner genom smart kommunikation och teknik.
