id,name,reason,score,best_candidate,PostOrt
1120,NVIDIA,low_score,83,NVIDIA SINGAPORE PTE LTD,UTLANDET
1125,Google Digitalakademin,no_candidates,,,
1134,Smartr,low_score,88,Smartrun AB,VÄRSÅS
1137,Layke Analytics,no_candidates,,,
1138,Codon,low_score,84,Codon Consulting AB,STOCKHOLM
1143,Knowing Company,no_candidates,,,
1152,Rek.ai,no_candidates,,,
1157,Skyqraft,no_candidates,,,
1161,Volvo Cars,no_candidates,,,
1166,TecPoint,no_candidates,,,
1168,ALMI Mälardalen,no_candidates,,,
1172,DeepMind,no_candidates,,,
1178,AMD Silo AI,no_candidates,,,
1190,Happy42,no_candidates,,,
1202,Sentian.ai,no_candidates,,,
1208,Unibap,low_score,82,Unibap Space Solutions AB (publ),UPPSALA
1211,rebase.energy,no_candidates,,,
1212,Weather Labs,no_candidates,,,
1218,Fraunhofer-Chalmers Centre,no_candidates,,,
1222,Videquus AB,no_candidates,,,
1227,Oterlu,no_candidates,,,
1231,Childhood - Stella Polaris,no_candidates,,,
1241,Women in AI,no_candidates,,,
1243,Wavr Tech AB (publ),no_candidates,,,
1248,data courage,no_candidates,,,
1254,DataForce by TransPerfect,no_candidates,,,
1263,Meta AI (Facebook),no_candidates,,,
1266,BootstrapLabs,no_candidates,,,
1271,Softhouse Consulting,no_candidates,,,
1273,Boston Global Forum,no_candidates,,,
1280,Aicavity Analytics,no_candidates,,,
1287,Animals AI,no_candidates,,,
1304,Qamcom Research and Technology,no_candidates,,,
1306,CEVT AB,no_candidates,,,
1311,Neodev,no_candidates,,,
1313,Ionic Consulting AB,no_candidates,,,
1314,"Women in Data Science, AI & ML Sweden",no_candidates,,,
1320,anch.AI,no_candidates,,,
1321,Svea AI,low_score,86,Svea AI Technology AB,STOCKHOLM
1322,Volvo Group,low_score,87,VOLVO GROUP MEXICO,UTLANDET
1323,Test Scouts AB,no_candidates,,,
1335,Lindholmen Science Park AB,no_candidates,,,
1346,IDC,low_score,88,IDCL INC AB,VINTRIE
1355,NearbyStore - Autonomus Grocery stores,no_candidates,,,
1356,Ethical AI Governance GGroup (EAIGG),no_candidates,,,
1364,"QuantumBlack, AI by McKinsey",no_candidates,,,
1371,The Farama Foundation,no_candidates,,,
1377,beezum.online,no_candidates,,,
1387,Aito.AI,no_candidates,,,
1388,MEM.AI,no_candidates,,,
1389,Zooma,low_score,87,Zooma Agency AB,GÖTEBORG
1405,Dell Technologies,no_candidates,,,
1414,Deeplogic AI,no_candidates,,,
1419,Decerno AB,no_candidates,,,
1421,Ledarna – Sveriges chefsorganisation,no_candidates,,,
1435,Responsr,no_candidates,,,
1443,Denefits LLC,no_candidates,,,
1444,Practina Inc,no_candidates,,,
1447,Saco,low_score,91,SACON AKTIEBOLAG,SALTSJÖ-BOO
1449,OECD,no_candidates,,,
1451,Stockholm Chamber of Commerce,no_candidates,,,
1453,Landing AI,no_candidates,,,
1454,Kungl. IngenjörsVetenskapsAkademien (IVA),no_candidates,,,
1455,Cool credit,no_candidates,,,
1460,Aidoc,no_candidates,,,
1465,Henrik Bornhede,no_candidates,,,
1466,Henrik Bornhede,no_candidates,,,
1472,Thesamurai,no_candidates,,,
1475,Daresay by Knightec,no_candidates,,,
1490,WOWEN,no_candidates,,,
1494,Noodl,low_score,81,Bitnoodl AB,LOMMA
1496,Webuters Technologies Pvt. Ltd.,no_candidates,,,
1497,Playground TV,no_candidates,,,
1499,Merantix Momentum GmbH,no_candidates,,,
1505,MinnaLearn,no_candidates,,,
1506,Synai,no_candidates,,,
1508,Unesco,low_score,77,UNESCO LUCS - LOKALT UNESCOCENTER FÖR SAMVERKAN,TUMBA
1509,IRC AI,no_candidates,,,
1511,Semanttic AB,no_candidates,,,
1514,Swedish Red Cross,no_candidates,,,
1515,DigJourney,no_candidates,,,
1521,Internetstiftelsen,no_candidates,,,
1528,Hub France IA,no_candidates,,,
1532,World Economic Forum,no_candidates,,,
1541,Toloka,low_score,70,BRUTTOLOKALEN,JÄRFÄLLA
1542,Assemble Inc,no_candidates,,,
1545,SVT,low_score,88,SVTB Holding Aktiebolag,STOCKHOLM
1549,CB Insights,no_candidates,,,
1550,Mindact.ai,no_candidates,,,
1554,SSF Stöldskyddsföreningen,no_candidates,,,
1555,Alstom,low_score,91,ALSTOM Rail Sweden AB,STOCKHOLM
1557,Artificial Collective,no_candidates,,,
1564,IBM,low_score,88,IBM USA,STOCKHOLM
1566,ChatGPTiSkolan,no_candidates,,,
1571,Natur & Kultur,no_candidates,,,
1573,EY (Ernst & Young),no_candidates,,,
1575,Skrypt AB,no_candidates,,,
1576,Icebreaker.vc,no_candidates,,,
1580,Impatient AB,no_candidates,,,
1582,anavid,no_candidates,,,
1589,MoogleLabs,no_candidates,,,
1594,Vectorboard AI,no_candidates,,,
1598,Christian Krichau,no_candidates,,,
1599,Christian Krichau,no_candidates,,,
1601,M.O.A.A. Consulting AB,no_candidates,,,
1602,Appalume AB,no_candidates,,,
1604,Appalume AB,no_candidates,,,
1609,Lunicore Student Consulting,no_candidates,,,
1610,Unity Health Toronto,no_candidates,,,
1611,EdAider,no_candidates,,,
1612,Boston Consulting Group (BCG),no_candidates,,,
1614,Stena AB,low_score,76,Investena AB,NACKA
1615,Oxide AI,no_candidates,,,
1617,Riksidrottsförbundet,low_score,76,RIKSIDROTTSFÖRBUNDETS IDROTTSINSTITUT,LIDINGÖ
1618,Finlands Kommunförbund,no_candidates,,,
1620,Laurent Pasquier,no_candidates,,,
1624,Studieförbundet NBV,no_candidates,,,
1629,Botli.fi,no_candidates,,,
1640,IvoryTower Consulting,no_candidates,,,
1641,ChatHelp.ai,no_candidates,,,
1659,Upplands-AI AB,no_candidates,,,
1662,Jens Kofoed Hansen,no_candidates,,,
1670,Maverick at Nexer AB,no_candidates,,,
1681,Bilfinger Engineering and Maintenance,no_candidates,,,
1686,Sjö&Hav Outdoor Care (Sjö&Hav),no_candidates,,,
1691,Oliver Isaksson,no_candidates,,,
1692,Nimo AI,no_candidates,,,
1699,Gothenburg Artificial Intelligence Alliance,no_candidates,,,
1701,Nordic Intel,low_score,71,Nordic Intelligence Services AB,TÄBY
1703,Amazon (AWS),no_candidates,,,
1704,Udemy,low_score,52,"Rudemyr Syla, Johanna",VAXHOLM
1712,outfinder,no_candidates,,,
1716,Volontärbyrån,no_candidates,,,
1719,Tauffer Consulting,no_candidates,,,
1720,Basinghall Analytics,no_candidates,,,
1722,Esatto AB,low_score,88,Dizparc Esatto AB,STOCKHOLM
1726,PWC,low_score,88,PWCO AB,FRILLESÅS
1741,XRFTW,no_candidates,,,
1749,Project Management Institute,no_candidates,,,
1750,Gray Oncology Solutions,no_candidates,,,
1751,DiagnosticsXAI,no_candidates,,,
1760,Blackwell Medtech,no_candidates,,,
1761,IT Software (Solutions Scandinavia AB),no_candidates,,,
1764,AI For HR,no_candidates,,,
1773,AI Coach Mikael Vilkas,no_candidates,,,
1774,Rikard Hedenblad,no_candidates,,,
1776,Stability AI,no_candidates,,,
1777,W2X LABS,no_candidates,,,
1783,Hugging Face,no_candidates,,,
1785,Derome AB,no_candidates,,,
1786,"Wallenberg AI, Autonomous Systems and Software Program - Humanity and Society",no_candidates,,,
1787,Nytt-IQ,no_candidates,,,
1788,Archiblad's Adventures AB,no_candidates,,,
1790,Claesson & Partners,no_candidates,,,
1792,Cambrex Karlskoga AB,no_candidates,,,
1796,Anthropic,no_candidates,,,
1800,Negrete Marknadskommunikation,no_candidates,,,
1802,AI-Coachen Mikael Vilkas,no_candidates,,,
1804,Läkarmissionen,low_score,82,LÄKARMISSIONEN - STIFTELSE FÖR FILANTROPISK VERKSAMHET,VÄLLINGBY
1807,UNperfect UNited,no_candidates,,,
1820,MyData Sweden,no_candidates,,,
1828,"Fritidsförvaltningen, Malmö stad",no_candidates,,,
1830,Maria Strand,low_score,73,Maria Strandlund Tomsvik AB,STOCKSUND
1833,Eghed AB,no_candidates,,,
1835,The Swedish AI Association (AICenter),no_candidates,,,
1837,Elite Trotters,no_candidates,,,
1842,INVID AB,no_candidates,,,
1851,Reka AI,no_candidates,,,
1852,HC-Tec AB,no_candidates,,,
