id;name;website;type;scraped_text;meta_description;sectors;domains;dimensions;ai_capabilities;status;status_code
1186;Hewlett Packard Enterprise;https://www.hpe.com/us/en/home.html;corporation;"""Hewlett Packard Enterprise (HPE) is an American multinational enterprise information technology company. HPE focuses on digital transformation, intelligent edge, hybrid IT, storage, server, and networking products that deliver data center solutions, cloud solutions, security solutions, big data solutions, and financial services.""";;Information Technology;Research & Development, IT & Software, Innovation;Competence & Expertise, Technology, Data;;timeout;
1688;Delorean AB;https://www.delorean.se/;supplier;"""Våra kunders framgång är vår framgång. Vi vill verkligen se dem lyckas, och ha roligt tillsammans på vägen. Att vinna Årets Byrå 2024 är en glädjande bekräftelse och vi är otroligt stolta."" Joakim Slättegård, VD Aktuellt Delorean viktig partner i lanseringen av 7-Eleven och Pressbyråns lojalitetskoncept Tidigare i år lanserades Pressbyrån Kompis, nu är det dags för 7-Elevens Corner Club! Läs mer om lojalitetskoncepten Nytt samarbete - Liseberg väljer Delorean Vi är oerhört stolta över att Liseberg, ett av Sveriges mest älskade varumärken, har valt Delorean som sin strategiska digitala partner. Nytt samarbete – Liseberg väljer Delorean Vi moderniserar facket med ny digital plattform för LO Vi på Delorean har med stolthet varit med och utvecklat den nya digitala plattformen LO.se tillsammans med Landsorganisationen i Sverige (LO). Läs mer om samarbetet här Vogue Scandinavia inleder strategiskt samarbete med Delorean Med ett uttalat digitalt fokus sedan lanseringen 2021 tar Vogue Scandinavia nu nästa steg i sin digitala utveckling. Läs mer om samarbetet här Vi är DI Gasell – för andra året i rad! Stort tack till våra fantastiska kunder och dedikerade team. Vi är tacksamma för er stöd på vår resa! Vår resa mot Dagens Industri Gasell 2024 Så ökar ni konkurrenskraften med inkluderande design Inkluderande design är att skapa digitala lösningar som är tillgängliga för alla olika användares förutsättningar. Genom att arbeta inkluderande breddar du målgruppen och främjar innovation. Kom igång med inkluderande design Delorean stolta vinnare av Årets Digitala Byrå 2024 Förra året tog vi brons i kategorin Digital 5–25 MKR, i år firar vi guld. Nomineringarna till Årets byrå baseras på Regis årliga bransch- och kundstudie som har genomförts för 24:e året i rad. 9 saker du måste tänka på när ni väljer nytt CMS – Det finns inget perfekt CMS, men det finns ofta ett eller ett par som är bäst för ändamålet. Det är därför viktigt att göra en analys och ett aktivt val, säger Kalle Macklin som Technical Director på Delorean och ofta rådgivare i CMS-val. Läs mer om hur du väljer CMS Se våra case Våra tjänster Digitalt partnerskap Tillsammans med ert team arbetar vi med digitala satsningar på både kort och lång sikt - för att framtidssäkra er verksamhet. Utformning av digital strategi Känner du dig osäker kring vart och med vad ni ska börja? Vi hjälper er att utforma en handlingsplan som förenklar processen framåt. UX & design Vi hjälper er utforma väldesignade digitala lösningar och tjänster som är optimerade för både era kunder och er affär. Webb- & systemutveckling Vi utvecklar och förenklar tekniskt avancerade lösningar till tjänster och produkter som ni och era kunder förstår. Med hög prestanda och säkerhet. Läs mer om våra tjänster Några av våra kunder Digitala lösningar som är optimerade för er och era användare Att välja en ny digital lösning, implementera system eller ta er digitala närvaro till nästa nivå, kan vara komplex. Men det behöver inte vara det. Vi har bred erfarenhet av att ta fram smarta digitala lösningar för stora och små varumärken i olika branscher. Vi jobbar oberoende av system, vilket innebär skräddarsydda rekommendationer för er verksamhet. Vi utgår från era förutsättningar, mål och resurser. Från diskussion till implementation. Till synes enkelt, men med den komplexitet som er affär kräver. Vi låter er utvecklas och driver din verksamhet framåt Vad händer i framtiden? Det är svårt att svara på, men vi vet att mycket kan förändras på kort tid - inte bara i den digitala världen, utan även i din verksamhet. Vårt jobb är att ha koll på hur utvecklingen ser ut åt er, och ta fram en hållbar digital lösning som tillgodoser era behov över tid. Lösningen ska kunna fortsätta utvecklas i takt med att ni och marknaden förändras. Vi vill att det ska vara lätt för dig att ta till vara på alla nya möjligheter och affärer som uppstår! Partnerskap och plattformar Vi diskuterar gärna digitala möjligheter, hör av dig! Joakim Slättegård, VD joakim@delorean.se +46 708 47 47 40 Avalon Curtis, Byråchef avalon@delorean.se +46 704 41 05 58 Kom igång med användartester “ Läs mer om hur du kommer igång med användartester och hur det kan öka kundnöjdhet och konvertering. ” Läs mer Digital tillgänglighet: så blir ni bättre på det “ Vi på Delorean har länge arbetat med tillgänglighet i digitala lösningar och har här samlat några av våra bästa tips kring just tillgänglighetsarbete. ” Läs mer Så håller du en digital workshop “ En digital workshop innebär både möjligheter och utmaningar. Här delar vi våra lärdomar och ger dig tips på hur du förbereder och genomför workshopen! ” Läs mer Automatiserad annonsering TUI Nordics “ Vi hjälper TUI Nordics att automatisera deras displayannonsering. Läs om hur de nu kan jobba både snabbare och smartare. ” Läs mer Statens konstråd nya webbplats “ För Statens konstråd har Delorean tagit fram en ny digital strategi och utvecklat deras nya webbplats. Delorean har ansvarat för UX/UI, design och utve...";Delorean är en strategisk digital byrå i Stockholm. Vi jobbar med strategi, UX, design och webbutveckling. Vi är experter på att optimera den digitala kundresan och förenkla komplexa affärsflöden.;;;;;success;200
1891;Eningo AB;eningo.se;startup;20/2/2025 Solen är äntligen tillbaka – Fälttest med Digital Ledningsanvisning Den här veckan var vi ute i fält med innovationsprojektet Digital Ledningsanvisning Läs mer 12/2/2025 Digital Ledningsanvisning – Tillsammans för en Ny Standard Framsteg & Samarbete under Projektdagarna Läs mer 10/2/2025 Digital Ledningsanvisning – Eningo i Entreprenads senaste nummer Digital Ledningsanvisning – Eningo i tidningen Entreprenad Läs mer;Vi har utvecklat ett ärendehanteringssystem skräddarsytt för just ledningsägares behov, både vid koordinering och utsättning. Eningo Utility Platform erbjuder stöd under hela processen och är anpassat för både koordinatorer och mättekniker.;Information Technology;;;;success;200
1748;Lightbringer;https://lightbringer.com;startup;A patent service built for tech companies 01 .1 03 .1 The patent service for fast-growing tech companies. ‍ ‍ Read manifest Learn more 70% faster filings Turn breakthrough ideas into protected innovations in weeks, not months, with a streamlined patent filing workflow that helps you capture, refine, and file faster than ever. Platform overview 50% cost savings Cut your patenting costs by up to 50% with transparent, fixed pricing that scales with your needs. Our patent service gives you control, predictability, and flexibility as you grow. Pricing & Plans Attorney in the loop Our platform is backed by in-house, AI-powered Patent Attorneys and Product Specialists. We’ll manage your patents from application to grant, and beyond. Our people 03 .1 Our patent service We take care of every step of the patent journey. From draft to granted patent. 01 Describe your Innovation Begin by detailing your innovative idea using our AI tools. This step ensures clarity and precision in your patent application. 02 Connect with your patent expert We will match you with one of our experienced attorneys who will draft the application for you. This ensures your innovation is well-protected and positioned for success. 03 File within days File patents faster with our AI-driven tools and expert attorneys. Secure protection quickly so you can go to market with confidence and speed. 04 Gain patent momentum With our support, your patent becomes a valuable part of your business strategy. Unlock new opportunities and protect your innovations effectively. patent-momentum-scrolltrigger patent-momentum-scrolltrigger-1 patent-momentum-scrolltrigger-2 patent-momentum-scrolltrigger-3 patent-momentum-scrolltrigger-4 05 .1 Platform Highlights A streamlined, digitalized process Our platform simplifies the patent process into intuitive, bite-sized steps, helping you better understand your innovation and file patents faster. Competitor monitoring to strenghten your strategy Leverage our patent strategy builder to attract interest from investors and better show the value of your IP portfolio. Deeper and faster insights with purpose built AI Get access to a purpose-built AI trained on hundreds of thousands of patents so you can speed up innovation and reveal opportunities others miss. A real human in the loop Our platform is backed by in-house Patent Attorneys and Product Specialists. When you're ready to file, we’ll manage your application through to grant. 06 .1 So much more than a traditional patent firm. Lightbringer pair advanced intelligence and expert patent attorneys to help you stay ahead, protect what matters, and unlock new opportunities. So you can move fast with confidence. Get started Learn more 06 .1 Service comparison Traditional patent attorneys Lightbringer Expert Patent Attorney Yes Yes Innovation capture Interviews, forms, and back-and-forth emails An AI-guided process captures all key technical details Patent drafting Drafting done manually by attorneys Streamlined drafting made by attorneys Patent filing A fragmented, multi-step process A digital-first, streamlined workflow Office action response Manual response and iteration cycles Automatic tracking with expert support Streamlined portfolio management Scattered across PDFs, emails, and spreadsheets Simple dashboard for full visibility Patent strategy builder Strategy researched manually and billed by the hour An AI-powered strategy builder Competitor monitoring Research relies on manual tracking and reporting Automated monitoring gives you an overview of competitor filings Real-time innovation insights Delivery on request and tied to billable hours AI instantly gives deep insights into your portfolio Fixed pricing model Billable hours and multiple invoices Fixed subscription fee with no surprises Certified data security Security practices vary depending on the firm SOC 2 Type 2 compliant with encryption and strict access controls Product comparison With Casca With Casca Apply Clunky front-end forms or PDFs Casca digital application, 3x higher conversion Q&A Manual response, 9am to 5pm Casca AI loan assistant, 24/7 Churn Reduction/ Followup Manual follow-up, 24-48h average delay Casca AI loan assistant, 2-3min response time KYB Manual KYB checks by bank Casca instantly analyses 40+ KYB checks Credit check Manual Credit check by bank Casca integration with credit bureaus Application tracking Paper checklists or 15-year-old legacy LOS Casca portal to track loan progress Doc extraction Manual document analysis Casca doc analysis for 100+ document types Spreading Credit analyst Casca calculates financial ratios instantly Decision Loan officer decision & send to underwriting Digital approvals with automated decisions Document preparation Manual or 3rd party document generation Casca integrated document generation 06 .1 Plans and pricing Explore patentable ideas in a secure self-serve platform Platform Free €99 $99 999 SEK /month Sign up for free Explore your patent landscape in a se...;Experience the future of patent services with Lightbringer. We accelerate your patent process, ensuring efficiency from our expert patent attorneys.;;;;;success;200
1581;Mannheimer Swartling;mannheimerswartling.se;supplier;Affärsjuridisk rådgivning i framkant Din webbläsare stödjer inte video. Insights Juridiska insikter kring de frågor som formar näringslivet och samhället i stort. Läs mer Nyheter Timex Group förvärvar majoritetsandel i Daniel Wellington Corporate Commercial Företagsöverlåtelser 7 november 2025 EU-kommissionen föreslår justeringar i avskogningsförordningen (EUDR) Miljörätt 5 november 2025 Mannheimer Swartling återigen rankad som nummer ett i Kantar Prosperas branschundersökning 2025 30 oktober 2025 Altor avyttrar samtliga sina aktier i RevolutionRace Private Equity Publik M&A och aktiemarknad 27 oktober 2025 Expertis Med den samlade kunskapen hos våra välrenommerade jurister inom alla områden av affärsjuridik mobiliserar vi snabbt rätt expertis och erfarenhet för varje uppdrag. Vi är organiserade i grupper med fokus på specifika verksamheter och branscher och vi samarbetar sömlöst inom hela byrån. Medarbetare Vem söker du? Trots att vi är utspridda på en global marknad är vi ett nära sammansvetsat team med expertis inom alla delar av affärsjuridiken. Internationellt Vi erbjuder våra klienter den bästa möjliga rådgivningen var i världen de än gör affärer. Läs mer;På Mannheimer Swartling möter du ett team med ett tydligt mål – att leverera den mest högkvalitativa affärsjuridiska rådgivningen.;;Legal & Compliance;;;success_http;
1570;Zelago Consulting;https://zelago.se/;supplier;AI & Digitalisering Zelago är en oberoende strategisk IT-partner som hjälper företag med digital verksamhetsutveckling och att utnyttja möjligheterna med AI. Vi hjälper kunderna genom hela digitaliseringsresan. Från: Utbildning och Rådgivning till slutlig Implementation. AI-agenter är framtiden för alla bolag och branscher. Men vad kan AI-agenterna egentligen göra? Här kommer några exempel: 1. Analyser Och Rapporter Genom att analysera er företagsdata kan AI skapa revolutionerande beslutsunderlag. 2. Estimat Genom AI-drivna analysverktyg kan företag skapa mer exakta och snabba projektestimeringar. 3. Kundsupport Chatbots och AI-drivna kundsupportsystem kan hantera vanliga frågor och lösa kundproblem dygnet runt. 4. Automatisering AI kan automatisera tidskrävande och repetitiva arbetsuppgifter. 5. Generera Nya Leads & Kunder AI-agenter kan identifiera potentiella kunder baserat på historiska data och beteendemönster. Vi hjälper också företag att maximera värdet av sin IT genom strategisk styrning, digital utveckling och kvalitetsförbättring. Genom en helhetssyn på IT och verksamhetsnytta säkerställer vi att rätt digitala förutsättningar finns på plats för långsiktig framgång. Våra olika tjänsteområden omfattar bland annat: 1. Långsiktig IT-strategi & affärsutveckling Utvecklar en IT-strategi som är direkt kopplad till företagets affärsmål och tillväxtstrategi. 2. IT-styrning & ramverk (ITIL, PM3, SAFe) Hjälper organisationen att styra, strukturera och effektivisera IT-processer genom etablerade ramverk. 3. Digital transformation & verksamhetsutveckling Hjälper företag att använda ny teknik för att effektivisera processer och skapa nya affärsmöjligheter. 4. Kvalitetsstyrning & förbättring av IT-leveranser Identifierar kvalitetsbrister i IT-processer, system och tjänster samt implementerar åtgärder för att säkerställa hög och jämn kvalitet. 5. KPI-baserad IT-utvärdering & budgetstruktur Analyserar IT-miljön regelbundet för att säkerställa optimal prestanda, kostnadseffektivitet och en hållbar budgetstruktur. 6. Stöd i IT-upphandling & leverantörsutvärdering Hjälper till att välja rätt IT-lösningar, förhandla avtal och kvalitetssäkra leverantörer. 7. Genomförande av IT-revisioner & compliance-kontroller Säkerställer att IT-miljön uppfyller säkerhetskrav, lagstiftning och branschstandarder. Om tillväxt och ökad produktivitet låter intressant är ni varmt välkomna att kontakta oss för mer information om hur man som bolag kan utvecklas digitalt.;En IT-partner som erbjuder kvalificerad rådgivning inom digital verksamhetsutveckling.;Energy, Financial, Automotive, Information Technology;Accounting & Finance, IT & Software, Innovation;;;success;200
1260;Data Wealth;https://www.data-wealth.com/;supplier;AI solutions tailor-made for your organisation. Unlock your company's hidden potential with AI that delivers measurable results. We transform your data into your most valuable business asset.;Företaget ska bedriva konsultverksamhet företrädesvis inom IT och dataanalys, samt utveckla mjukvaruprodukter, äga och förvalta värdepapper och utöva därmed förenlig verksamhet.;Retail, Research, Information Technology, Media;Research & Development, IT & Software, Engineering;Technology, Vision & Strategy, Data;;success;200
1567;Innovatrice AB;http://innovatrice.se;startup;AI utbildning och implementering Skräddarsydda utbildningar av personal och ledning Workshops Identifiera användningsområden för AI som kan höja KPI:er Förändringsledning;Välkomna till Innovatrice – ett passionerat team av företagsutvecklare, pedagoger och speciallärare med målet att göra AI till en integrerad del av pedagogisk verksamhet. Vi hjälper skolor att dra nytta av AI genom skräddarsydda föreläsningar och workshops. Låt oss tillsammans öppna upp nya dörrar för en framtid där teknik och pedagogik går hand i hand. Kontakta oss idag!;Education;;;;success;200
1555;Alstom;alstom.se;corporation;Alstom Sverige Go to Selecting one of the options will initiate a page reload to display the chosen page. Company Solutions Newsroom Finance Careers Share Facebook Twitter Copy link Kontakta Alstom i Sverige Buteljgatan 4 117 60 Stockholm +46 10 852 00 00 Vi leder vägen mot grönare och smartare transport Alstoms historia av banbrytande mobilitetslösningar i Sverige går tillbaka mer än 140 år. Vi är den största leverantören på marknaden där vi har levererat över 1000 tåg samt merparten av alla signal- och trafikledningssystem. Våra pågående leveranser omfattar nya höghastighetståg, regionaltåg, spårvagnar och tunnelbanevagnar, utrullningen av ERTMS tillsammans med flera stora underhållskontrakt och moderniseringsprojekt för att uppgradera befintliga flottor. Ett stort antal av våra 2000 anställda i Sverige finns vid Alstoms globala forskning, utvecklings- och industrialiseringscentra i Stockholm och Västerås. Här utvecklar vi och levererar elektriska traktions-, broms-, tågstyrnings- och signalsystemlösningar till kunder över hela världen. Med Alstoms tredje Innovation Station placerad i Sverige är vi perfekt positionerade för att samverka inom det livskraftiga svenska innovationsekosystemet och bana vägen för den hållbara mobilitetens framtid. Upptäck mer om Alstom i Sverige >2000 anställda 19 19 sajter i hela Sverige, med huvudkontor i Stockholm > 1000 tåg sålda i Sverige 1891 Närvaro i Sverige sedan 1891 Fokus på våra lösningar Regional trains Coradia regional trains: Accessible solutions to move regions Services FlexCare Perform: Rail maintenance services for all types of assets Urban signalling Alstom CBTC range: world leading high-capacity signalling Referensprojekt i Sverige C20 Stockholms tunnelbana 271 tunnelbanevagnar som har använts i Stockholms tunnelbana sedan 1997. År 2024 slutförde Alstom modernisering av alla vagnarna med ny inredning och passagerarinformationssystem. Ådals- och Botniabanan – 15 års operativ erfarenhet med ERTMS Under 2010, testade ERTMS (level 2) för första gången på Ådalsbanan och Botniabanan. Coradia Nordic X60 för SL Tågen sattes i drift i augusti 2005. Maxhastighet i trafik 200 km/h. Kontraktet tecknades 2002. Alstom har sålt totalt 129 regionaltåg till SL. Arlanda Express Sju stycken fyra-vagns expresståg sattes i drift 1999. Maxhastighet i trafik 200 km/h. Detta var Alstoms första kontrakt i Sverige och tecknades 1995. Alstom ledde då ett bolag där John Mowlem, NCC och SIAB (A-train AB) ingick. Coradia Duplex X40 för SJ 42 stycken dubbeldäckare som sattes i drift 2005. Maxhastighet i trafik 200 km/h. Foto copyright: Frederik Tellerup Coradia Nordic X61/X62 Regionaltåg för Skånetrafiken, Östgötatrafiken, Västtrafik och Norrtåg. Första tågen sattes i drift 2009. Maxhastighet i trafik 160/180 km/h. X2 Regina X2 Regina levererade under 1990-talet till SJ - Foto Copyright: Stefan Nilsson (SJ) Pågående projekt Movia C30 tunnelbanetåg i Stockholm Ikoniska och prisvinnande Movia C30 tunnelbanetåg i Stockholm. Alstom levererar totalt 116 tunnelbanetåg eller 464 vagnar, som kommer köra i Stockholms tunnelbanesystem. M34 Flexity spårvagnar i Göteborg Leverera 60 nya utökade Flexity spårvagnar till Västtrafik i Göteborg. Den nya utökade versionen ökar transportkapaciteten med 50 procent. Leder uppgraderingen av ERTMS i Sverige ERTMS omborduppgradering för mer än 10 fordonstyper och 550 fordon. Mer än 50 spårprojekt från konventionella uppgraderingar till ERTMS uppgraderingar. Avelia Stream Nordic X80 Alstom levererar 45 prisvinnande tåg av typen Avelia Stream Nordic till Västtrafik. Höghastighetståg till SJ Fast order på 25 höghastighetståg med option på ytterligare 15. De nya tågen kommer att vara Sveriges snabbaste någonsin med maxhastighet på 250 km/h. Underhållskontrakt Ett flertal pågående underhållskontrakt samt moderniseringsprojekt på sajter över hela Sverige och med specialiserade verkstäder med fokus på tungt underhåll i Motala och Västerås. Senaste nyheterna för Sverige Press Releases 23 okt 2025 Alstom vinner underhållsavtal för Mälartågs tågflotta Press Releases 17 sep 2025 Alstom presenterar fem förslag för en snabbare utveckling av järnvägssystemet i en ny rapport Press Releases 20 aug 2025 Ministern på plats vid invigningen av Alstoms nya Stockholmskontor Press Releases 09 jul 2025 Alstom tilldelas Red Dot Award 2025 för design av Avelia Stream Nordic X80 Press Releases 26 jun 2025 Alstom levererar ERTMS-signalsystem på Malmbanan Press Releases 06 maj 2025 Alstom tecknar 5-årigt supportavtal för fordonsrelaterade digitala system med SL för Stockholms tunnelbana Press Releases 13 mar 2025 Alstom stärker sin närvaro i norra Sverige med nytt avtal med SJ för nattågsunderhåll Press Releases 09 dec 2024 Alstom tecknar tioårigt kontrakt för underhåll av Norrtågs flotta i Sverige Att arbeta på Alstom i Sverige Att jobba på Alstom innebär att du blir en del av ett högt kvalificerat internationellt team och att du kommer att arbeta med några av de mest prestigefyllda projek...;Alstom commits to contribute to a low carbon future by developing and promoting innovative and sustainable transportation solutions that people enjoy riding. From high-speed trains, metros, monorails, trams, to turnkey systems, services, infrastructure, signalling and digital mobility, Alstom offers its diverse customers the broadest portfolio in the industry. With its presence in 63 countries and a talent base of over 80,000 people from 175 nationalities, the company focuses its design, innovation, and project management skills to where mobility solutions are needed most. ;Transportation & Logistics;;;;success_http;
2094;Mabel AI;https://mabel.care;startup;At Mabel, we develop highly secure real-time medical conversations solution.When our co-founder Karolina started working as a doctor in the emergency room 15 years ago, she quickly realized the problem of language barriers in health care and the need for instant and secure interpretation. She saw how the shortage and lack of training of interpreters led to miscommunication and how delays in waiting for interpreters risked patients' lives.Together with her partner Shahid, with a long career in software development, they started to think about how to use modern technology without compromising confidentiality. The result is Mabel, an AI-based mobile app for in-device speech recognition and translation of medical interactions. Always with trust and confidentiality in mind. ;Real-Time Translation for Healthcare - Mabel AI. Discover Mabel AI’s fully private and secure, real-time translation services designed for healthcare, and other public sectors.;Healthcare & Life Sciences;Engineering;Execution;;success;200
