id,name,reason,score,best_candidate,PostOrt
2263,Vlink,low_score,86.0,devLink AB,FALKENBERG
2272,Tally,low_score,86.0,"Tally, Michael",TJOCKÖ
1120,NVIDIA,low_score,83.0,NVIDIA SINGAPORE PTE LTD,UTLANDET
1494,Noodl,low_score,81.0,Bitnoodl AB,LOMMA
1902,Navati,low_score,80.0,Lunavation AB,UMEÅ
1508,Unesco,low_score,77.0,UNESCO LUCS - LOKALT UNESCOCENTER FÖR SAMVERKAN,TUMBA
1876,Slack,low_score,76.0,Kungslack AB,HUDDINGE
1830,Maria Strand,low_score,73.0,Maria Strandlund Tomsvik AB,STOCKSUND
1701,Nordic Intel,low_score,71.0,Nordic Intelligence Services AB,TÄBY
1704,Udemy,low_score,52.0,"Rudemyr Syla, Johanna",VAXHOLM
