company_id,company_name,company_type,website,found_orgnr,official_name_1,official_name_2,official_name_3,found_on_page,error,notes
1773,AI Coach Mikael Vilkas,corporation,https://www.aicoachen.ai/,,aicoachen.ai,,,,,
1764,AI For HR,supplier,https://www.aiforhr.se/,,AI For HR,,,,,
2015,AI Utbildningscentrum (AIUC),startup,https://www.aiuc.se,559488-1517,Skräddarsydda AI-kurser & Utbildningar,,,https://www.aiuc.se,,
2270,AI&I,startup,http://www.aiandi.biz,,AI&I,,,,,
2401,AI-BOB,startup,https://aibob.io/,,,,,,Fel vid scraping: 403 Client Error: Forbidden for url: https://aibob.io/company,
2318,AIxDesign AB,corporation,https://www.aixdesign.se,,,,,,Hittade inget företagsnamn eller org.nr på webbsajten,
1168,ALMI Mälardalen,corporation,https://www.almi.se/om-almi/kontakt/kontaktlista/?office=4423,556481-6204,Hitta till oss,,,https://www.almi.se/om-almi/kontakt/kontaktlista/?office=4423,,
1178,AMD Silo AI,supplier,https://www.amd.com/en/solutions/ai/silo-ai.html,,AMD,Your Trusted Partner for Advancing AI,,,,
2494,Accedo,startup,https://www.accedo.tv/,,"Turning TV viewers into video lovers, globally.",,,,,
2350,Acorai,startup,https://acorai.com/,,Acorai,,,,,
2529,Aeterna Labs,startup,https://aeternalabs.ai/,,Everything we do is based on our people,,,,,
2362,AgriOpt AB,startup,https://www.agriopt.com,,,,,,Hittade inget företagsnamn eller org.nr på webbsajten,
1460,Aidoc,corporation,https://www.aidoc.com/,,Healthcare AI,MEET AIDOC:,,,,
1387,Aito.AI,supplier,https://aito.ai/,,About us,,,,,
1556,Akademiska sjukhuset / Uppsala University Hospital,publicsector,akademiska.se,,,,,,Hittade inget företagsnamn eller org.nr på webbsajten,
2403,Akuret,startup,https://www.akuretsolutions.com/,,Where data meets action,,,,,
2331,Algeno,startup,https://algeno.se/,,Algeno,Algeno kapar värmesvinn med AI,,,,
2402,AlgoDx,startup,https://algodx.com,,,,,,Hittade inget företagsnamn eller org.nr på webbsajten,
2383,Allting AB,startup,https://www.allting.co,,,,,,Kunde inte ansluta till https://www.allting.co/company,
1503,Almi,publicsector,almi.se,,,,,,Hittade inget företagsnamn eller org.nr på webbsajten,
