company_id,company_name,company_type,company_website,company_location_city,company_owner,fuzzy_score,organization_number,scb_company_name,co_address,post_address,post_code,post_city,municipality_code,municipality,county_code,county,num_workplaces,employee_size_code,employee_size,company_status_code,company_status,legal_form_code,legal_form,start_date,registration_date,industry_1_code,industry_1,industry_2_code,industry_2,revenue_year,revenue_size_code,revenue_size,phone,email,employer_status_code,employer_status,vat_status_code,vat_status,export_import
1358,Trafikverket,publicsector,https://www.trafikverket.se,BORLÄNGE,,100,2021006297,Trafikverket,,,781 89,BORLÄNGE,2081,Borlänge,20,Dalarna,166 ,16,10000- anställda,1,Är verksam,81,Statliga enheter,2010-04-07,2010-04-07,84131,Administration av infrastrukturprogram,84115,Personalförvaltning och andra allmänna stödtjänster,2024,12, > 9 999 999 tkr,0771921921,trafikverket@trafikverket.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1376,Lantmäteriet,publicsector,https://www.lantmateriet.se/sv/,GÄVLE,,100,2021004888,LANTMÄTERIET,,,801 82,GÄVLE,2180,Gävle,21,Gävleborg,51  ,12,2000-2999 anställda,1,Är verksam,81,Statliga enheter,1996-01-22,1996-01-22,84131,Administration av infrastrukturprogram,84112,"Inspektion, kontroll och tillståndsgivning",2024,9 ,500 000 - 999 999 tkr,0771636363,lantmateriet@lm.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1404,Södertälje kommun,publicsector,södertäljekommun.se,SÖDERTÄLJE,,100,2120000159,SÖDERTÄLJE KOMMUN,,,151 89,SÖDERTÄLJE,0181,Södertälje,01,Stockholm,200 ,15,5000-9999 anställda,1,Är verksam,82,Kommuner,1976-01-01,1974-01-01,88101,Öppna sociala insatser för äldre personer,85201,Grundskoleutbildning och förskoleklass,2024,8 ,100 000 - 499 999 tkr,0852301000,sodertalje.kommun@sodertalje.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1406,Lidingö Stad,publicsector,https://www.lidingo.se/digitalisering,,,100,2120000191,LIDINGÖ KOMMUN,,,181 82,LIDINGÖ,0186,Lidingö,01,Stockholm,73  ,12,2000-2999 anställda,1,Är verksam,82,Kommuner,1976-01-01,1975-01-01,88101,Öppna sociala insatser för äldre personer,85201,Grundskoleutbildning och förskoleklass,2024,8 ,100 000 - 499 999 tkr,087313000,lidingo.stad@lidingo.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1419,Decerno AB,supplier,https://www.decerno.se,,,100,5564985025,Decerno Aktiebolag,,NORRA STATIONSGATAN 93,113 64,STOCKHOLM,0180,Stockholm,01,Stockholm,3   ,7 ,100-199 anställda,1,Är verksam,49,Övriga aktiebolag,1995-02-19,1994-11-19,62020,Datakonsultverksamhet,     ,,2024,8 ,100 000 - 499 999 tkr,,,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1426,Pensionsmyndigheten,publicsector,https://www.pensionsmyndigheten.se/,STOCKHOLM,,100,2021006255,PENSIONSMYNDIGHETEN,,BOX 38190,100 64,STOCKHOLM,0180,Stockholm,01,Stockholm,8   ,11,1500-1999 anställda,1,Är verksam,81,Statliga enheter,2010-01-05,2010-01-22,84300,Obligatorisk socialförsäkring,     ,,2024,3 ,1 000 - 4 999 tkr,0771771771,registrator@pensionsmyndigheten.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1435,Responsr,startup,https://responsr.io/,,,100,5592354756,Welovefeedback AB,,COT 601-4 BILLO,106 46,STOCKHOLM,1380,Halmstad,13,Halland,1   ,1 ,0 anställda,1,Är verksam,49,Övriga aktiebolag,2021-01-18,2020-01-13,58290,Utgivning av annan programvara,     ,,2024,3 ,1 000 - 4 999 tkr,,COT601-4@billo.life,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
1446,Polismyndigheten,publicsector,https://polisen.se,STOCKHOLM,,100,2021000076,POLISMYNDIGHETEN,,BOX 12256,102 26,STOCKHOLM,0180,Stockholm,01,Stockholm,395 ,16,10000- anställda,1,Är verksam,81,Statliga enheter,1980-01-01,1978-01-01,84240,Polisverksamhet,85410,Eftergymnasial utbildning vid annat än universitet och högskola,2024,9 ,500 000 - 999 999 tkr,11414      ,registrator.kansli@polisen.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1457,SCB - Statistikmyndigheten,publicsector,https://scb.se,,,100,2021000837,STATISTISKA CENTRALBYRÅN,,,701 89,ÖREBRO,1880,Örebro,18,Örebro,2   ,10,1000-1499 anställda,1,Är verksam,81,Statliga enheter,1980-01-01,1975-01-01,84114,Samhällelig informationsförsörjning,     ,,2024,7 ,50 000 - 99 999 tkr,0104794000,scb@scb.se,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,J
1465,Isoposso AB,startup,https://isoposso.se,,,100,5594285875,Isoposso AB,,TRONDHEIMSGATAN 11,164 32,KISTA,0180,Stockholm,01,Stockholm,1   ,2 ,1-4 anställda,1,Är verksam,49,Övriga aktiebolag,2023-04-24,2023-04-11,70220,Konsultverksamhet avseende företags organisation,85599,Diverse övrig utbildning,2024,0 ,< 1 tkr,,isoposso@gmail.com,1,Är registrerad som vanlig arbetsgivare,1,Är registrerad för moms,N
